"Name","Brand","Colour","Body","Top","Neck","Fretboard","Frets","Scale","Pickups","Tremolo","Bag","Case","Price"
"Solar Guitars S1.6 FR BLB","Solar Guitars","Blue","Mahogany","Poplar Burl","Maple, Jatoba","Ebony","24","647 mm","HH","Floyd Rose","No","No","€ 1.029"
"Schecter Hellraiser C-7 FR S BC","Schecter","Red","Mahogany","Maple","Mahogany","Rosewood","24","673 mm","HH, Sustainiac","FR-Style","No","No","€ 1.290"
"Fender AM Pro II Strat MN MBL","Fender","Blue","Alder","None","Maple","Maple","22","648 mm","SSS","Vintage","No","Yes","€ 1.777"
"Fender AM Pro II Strat LH DK NIT","Fender","Blue","Alder","None","Maple","Rosewood","22","648 mm","SSS","Vintage","No","Yes","€ 1.739"
"Jackson JS11 Dinky AH BLK","Jackson","Black","Poplar","None","Maple","Amaranth","22","648 mm","HH","Standard","No","No","€ 148"
"ESP LTD MH-200 Black","ESP","Double Cut","Black","Mahogany","None","Maple","Jatoba","24","648 mm","HH","No","FR-Style","No","No","€ 499"
"Legator N8FX-AMT","Legator","Amethyst","Mahogany","Burl","Maple, Wenge","Ebony","24","711 mm","HH","None","Yes","No","€ 1.999"
"Ibanez GRG170DX-BKN Bundle","Ibanez","Black","Poplar","None","Maple","Pinewood","24","648 mm","HSH","Standard","No","No","€ 244"
"Fender AM Pro II Strat MN 3TSB","Fender","Sunburst","Alder","None","Maple","Maple","22","648 mm","SSS","Vintage","No","Yes","€ 1.777"
"ESP LTD KH 602 BLK","ESP","Black","Alder","None","Maple","Pau Ferro","24","648 mm","HH","Floyd Rose","No","Yes","€ 1.299"
"Fender Player Lead III Strat MN SSB","Fender","Sunburst","Alder","None","Maple","Maple","22","648 mm","HH","None","No","No","€ 666"
"ESP LTD MH-1000 Evertune FM STBLK","ESP","Double Cut","Black","Mahogany","Maple","Maple","Ebony","24","648 mm","HH","Yes","None","No","No","€ 1.222"
"Jackson JS11 Dinky MR AH","Jackson","Red","Poplar","None","Maple","Amaranth","22","648 mm","HH","Standard","No","No","€ 148"
"Chapman Guitars ML1-Pro X Lunar Burl","Chapman Guitars","Black","Mahogany","Poplar","Maple","Maple","22","648 mm","HSS","Vintage","No","Yes","€ 1.419"
"Fender AM Ultra Strat MN Cobra Blue","Fender","Blue","Alder","None","Maple","Maple","22","648 mm","SSS","Vintage","No","Yes","€ 2.049"
"Jackson JS32 DKA AH SBK","Jackson","Black","Poplar","None","Maple","Amaranth","24","648 mm","HH","FR-Style","No","No","€ 298"
"Fender AM Acoustasonic Strat TSBL","Fender","Blue","Mahogany","Sitka, massive","Mahogany","Ebony","22","648 mm","Miscellaneous","None","Yes","No","€ 1.690"
"ESP LTD M-HT Black Metal BK","ESP","Black","Alder","None","Maple","Ebony","24","648 mm","H","None","No","No","€ 999"
"Cort KX 300 Etched Black Red","Cort","Black/Red","Mahogany","Ash","Maple","Pau Ferro","24","648 mm","HH","None","No","No","€ 455"
"PRS John Mayer Silver Sky Polar","PRS","Blue","Alder","None","Maple","Rosewood","22","648 mm","SSS","Vintage","Yes","No","€ 2.777"
"Fender AM Ultra Strat MN HSS A. Pearl","Fender","White","Alder","None","Maple","Maple","22","648 mm","HSS","Vintage","No","Yes","€ 2.049"
"Fender Player Series Strat HSH PF BCR","Fender","Cream","Alder","None","Maple","Pau Ferro","22","648 mm","HSH","Standard","No","No","€ 644"
"Fender Player Series Strat HSS MN PWT","Fender","White","Alder","None","Maple","Maple","22","648 mm","HSS","Standard","No","No","€ 655"
"Schecter C-1 SLS Elite BFB","Schecter","Miscellaneous","Ash","Maple","Maple, Walnut, Padauk","Ebony","24","648 mm","HH","None","No","No","€ 1.299"
"Fender Deluxe Strat HSS PF CAR","Fender","Red","Alder","None","Maple","Pau Ferro","22","648 mm","HSS","Vintage","Yes","No","€ 869"
"ESP E-II Horizon NT-II BPG","ESP","Blue","Mahogany","Maple","Maple","Ebony","24","648 mm","HH","None","No","Yes","€ 2.199"
"Solar Guitars S2.6FWA","Solar Guitars","Natural","Mahogany","Maple","Maple","Ebony","24","648 mm","HH","None","No","No","€ 799"
